

wavelength(nm), Y
1596.88, -26.346
1596.87, -29.5891
1596.86, -34.6811
1596.85, -38.2132
1596.84, -32.5376
1596.83, -28.2017
1596.82, -25.4103
1596.81, -23.5755
1596.8, -22.4531
1596.79, -21.9436
1596.77, -22.0027
1596.76, -22.6124
1596.75, -23.7894
1596.74, -25.6269
1596.73, -28.3854
1596.72, -32.685
1596.71, -38.0536
1596.7, -34.0242
1596.69, -28.968
1596.68, -25.7596
1596.67, -23.6986
1596.66, -22.451
1596.65, -21.8574
1596.64, -21.8256
1596.63, -22.3016
1596.62, -23.2782
1596.6, -24.8244
1596.59, -27.1489
1596.58, -30.7505
1596.57, -36.2192
1596.56, -35.4508
1596.55, -29.7851
1596.54, -26.1383
1596.53, -23.8561
1596.52, -22.4827
1596.51, -21.7866
1596.5, -21.6324
1596.49, -21.9445
1596.48, -22.7053
1596.47, -23.9718
1596.46, -25.9183
1596.45, -28.9473
1596.43, -33.8137
1596.42, -36.4788
1596.41, -30.7916
1596.4, -26.6686
1596.39, -24.1422
1596.38, -22.6161
1596.37, -21.7834
1596.36, -21.4754
1596.35, -21.6046
1596.34, -22.1501
1596.33, -23.1623
1596.32, -24.7915
1596.31, -27.3685
1596.3, -31.5691
1596.29, -36.4178
1596.28, -32.1115
1596.26, -27.4718
1596.25, -24.6484
1596.24, -22.9259
1596.23, -21.9207
1596.22, -21.4352
1596.21, -21.3742
1596.2, -21.7152
1596.19, -22.5043
1596.18, -23.8746
1596.17, -26.103
1596.16, -29.7482
1596.15, -35.1664
1596.14, -33.748
1596.13, -28.6296
1596.12, -25.4332
1596.11, -23.4609
1596.09, -22.247
1596.08, -21.5642
1596.07, -21.3088
1596.06, -21.4568
1596.05, -22.0519
1596.04, -23.2139
1596.03, -25.1767
1596.02, -28.3897
1596.01, -33.5211
1596, -35.4046
1595.99, -30.1415
1595.98, -26.4804
1595.97, -24.1949
1595.96, -22.7327
1595.95, -21.8313
1595.94, -21.377
1595.93, -21.344
1595.91, -21.7739
1595.9, -22.7739
1595.89, -24.5373
1595.88, -27.4154
1595.87, -32.0371
1595.86, -36.3918
1595.85, -31.9073
1595.84, -27.6932
1595.83, -25.0241
1595.82, -23.2743
1595.81, -22.1379
1595.8, -21.4877
1595.79, -21.2947
1595.78, -21.5949
1595.77, -22.4767
1595.76, -24.0885
1595.74, -26.6915
1595.73, -30.7961
1595.72, -36.1699
1595.71, -33.7427
1595.7, -28.9464
1595.69, -25.8269
1595.68, -23.7605
1595.67, -22.3874
1595.66, -21.5607
1595.65, -21.2417
1595.64, -21.4511
1595.63, -22.2469
1595.62, -23.7269
1595.61, -26.0763
1595.6, -29.6941
1595.59, -35.0031
1595.57, -35.37
1595.56, -30.1477
1595.55, -26.5242
1595.54, -24.1282
1595.53, -22.5343
1595.52, -21.5643
1595.51, -21.1565
1595.5, -21.3019
1595.49, -22.0184
1595.48, -23.3575
1595.47, -25.4499
1595.46, -28.6113
1595.45, -33.4092
1595.44, -36.3461
1595.43, -31.2595
1595.42, -27.102
1595.41, -24.3787
1595.39, -22.5921
1595.38, -21.5131
1595.37, -21.0401
1595.36, -21.123
1595.35, -21.7412
1595.34, -22.9138
1595.33, -24.7391
1595.32, -27.4765
1595.31, -31.671
1595.3, -36.1956
1595.29, -32.2956
1595.28, -27.6148
1595.27, -24.573
1595.26, -22.6188
1595.25, -21.4492
1595.24, -20.9086
1595.22, -20.9062
1595.21, -21.3943
1595.2, -22.376
1595.19, -23.9334
1595.18, -26.2873
1595.17, -29.9195
1595.16, -34.9221
1595.15, -33.2785
1595.14, -28.1717
1595.13, -24.8117
1595.12, -22.6955
1595.11, -21.4272
1595.1, -20.7941
1595.09, -20.6735
1595.08, -21.0043
1595.07, -21.7846
1595.06, -23.0883
1595.04, -25.1093
1595.03, -28.2644
1595.02, -33.0833
1595.01, -34.1469
1595, -28.9106
1594.99, -25.2113
1594.98, -22.9103
1594.97, -21.5133
1594.96, -20.7537
1594.95, -20.4873
1594.94, -20.6469
1594.93, -21.2304
1594.92, -22.3074
1594.91, -24.0513
1594.9, -26.8218
1594.89, -31.234
1594.88, -34.651
1594.86, -29.9558
1594.85, -25.8753
1594.84, -23.3419
1594.83, -21.7747
1594.82, -20.8562
1594.81, -20.4242
1594.8, -20.4086
1594.79, -20.8076
1594.78, -21.6884
1594.77, -23.2082
1594.76, -25.6768
1594.75, -29.6666
1594.74, -34.4852
1594.73, -31.3572
1594.72, -26.8593
1594.71, -24.0264
1594.69, -22.2409
1594.68, -21.1309
1594.67, -20.5161
1594.66, -20.3226
1594.65, -20.5499
1594.64, -21.2632
1594.63, -22.6054
1594.62, -24.84
1594.61, -28.4549
1594.6, -33.6904
1594.59, -33.0181
1594.58, -28.1407
1594.57, -24.9246
1594.56, -22.8648
1594.55, -21.5289
1594.54, -20.7143
1594.53, -20.3428
1594.51, -20.4142
1594.5, -20.9908
1594.49, -22.198
1594.48, -24.2505
1594.47, -27.5402
1594.46, -32.5996
1594.45, -34.6159
1594.44, -29.626
1594.43, -25.9335
