

wavelength(nm), Y
1589.65, -18.5458
1589.61, -19.0166
1589.58, -19.541
1589.54, -20.1219
1589.51, -20.7639
1589.47, -21.4752
1589.44, -22.2682
1589.4, -23.1613
1589.37, -24.1819
1589.33, -25.3707
1589.3, -26.7898
1589.26, -28.5409
1589.23, -30.8076
1589.19, -33.9788
1589.16, -39.1532
1589.12, -51.7163
1589.09, -41.8332
1589.05, -35.1572
1589.02, -31.3752
1588.98, -28.7406
1588.95, -26.7265
1588.91, -25.1043
1588.88, -23.7546
1588.84, -22.6073
1588.81, -21.6178
1588.77, -20.7565
1588.74, -20.0022
1588.7, -19.3394
1588.67, -18.756
1588.63, -18.2422
1588.6, -17.7895
1588.56, -17.3908
1588.53, -17.0395
1588.49, -16.7302
1588.46, -16.4581
1588.42, -16.2193
1588.39, -16.0113
1588.35, -15.8323
1588.32, -15.6815
1588.28, -15.5592
1588.25, -15.4664
1588.21, -15.4046
1588.18, -15.3753
1588.14, -15.3803
1588.11, -15.4207
1588.07, -15.4972
1588.04, -15.6098
1588, -15.7577
1587.97, -15.9401
1587.93, -16.1558
1587.9, -16.404
1587.86, -16.684
1587.83, -16.9967
1587.79, -17.3445
1587.76, -17.7311
1587.72, -18.1616
1587.69, -18.6426
1587.65, -19.1829
1587.62, -19.7935
1587.58, -20.488
1587.55, -21.284
1587.51, -22.2047
1587.48, -23.2825
1587.44, -24.5649
1587.41, -26.1271
1587.37, -28.0979
1587.34, -30.7288
1587.3, -34.619
1587.27, -41.9039
1587.23, -47.8098
1587.2, -36.7566
1587.16, -31.8522
1587.13, -28.7268
1587.09, -26.447
1587.06, -24.6679
1587.02, -23.2241
1586.99, -22.0225
1586.95, -21.0051
1586.92, -20.1323
1586.88, -19.3756
1586.85, -18.7134
1586.81, -18.1289
1586.78, -17.6091
1586.74, -17.1437
1586.71, -16.7251
1586.67, -16.3475
1586.64, -16.007
1586.6, -15.7013
1586.57, -15.4291
1586.53, -15.1899
1586.5, -14.9837
1586.46, -14.8107
1586.43, -14.6708
1586.39, -14.5639
1586.36, -14.4892
1586.32, -14.4458
1586.29, -14.4325
1586.25, -14.4484
1586.22, -14.4924
1586.18, -14.5642
1586.15, -14.6639
1586.11, -14.7923
1586.08, -14.9507
1586.04, -15.141
1586.01, -15.3656
1585.97, -15.6271
1585.94, -15.9285
1585.9, -16.273
1585.87, -16.6646
1585.83, -17.1079
1585.8, -17.6088
1585.76, -18.1754
1585.73, -18.8182
1585.69, -19.5518
1585.66, -20.3964
1585.62, -21.3801
1585.59, -22.5437
1585.55, -23.9485
1585.52, -25.693
1585.48, -27.9527
1585.45, -31.094
1585.41, -36.1229
1585.38, -47.8854
1585.34, -40.1738
1585.31, -33.2294
1585.27, -29.4407
1585.24, -26.8614
1585.2, -24.9228
1585.17, -23.3804
1585.13, -22.1058
1585.1, -21.023
1585.07, -20.0836
1585.03, -19.2552
1585, -18.5156
1584.96, -17.8496
1584.93, -17.2466
1584.89, -16.6992
1584.86, -16.2027
1584.82, -15.7532
1584.79, -15.3483
1584.75, -14.9863
1584.72, -14.6652
1584.68, -14.3832
1584.65, -14.1386
1584.61, -13.9296
1584.58, -13.755
1584.54, -13.6135
1584.51, -13.5043
1584.47, -13.427
1584.44, -13.3816
1584.4, -13.3679
1584.37, -13.3862
1584.33, -13.4362
1584.3, -13.518
1584.26, -13.6312
1584.23, -13.7757
1584.19, -13.9513
1584.16, -14.1585
1584.12, -14.3986
1584.09, -14.6737
1584.05, -14.9875
1584.02, -15.345
1583.98, -15.7531
1583.95, -16.2207
1583.91, -16.7584
1583.88, -17.3793
1583.84, -18.0989
1583.81, -18.936
1583.78, -19.914
1583.74, -21.064
1583.71, -22.4304
1583.67, -24.0824
1583.64, -26.1392
1583.6, -28.8334
1583.57, -32.7149
1583.53, -39.6729
1583.5, -47.9441
1583.46, -36.0306
1583.43, -30.9725
1583.39, -27.7982
1583.36, -25.4834
1583.32, -23.661
1583.29, -22.1588
1583.25, -20.8834
1583.22, -19.779
1583.18, -18.8101
1583.15, -17.9525
1583.11, -17.1894
1583.08, -16.5081
1583.04, -15.8987
1583.01, -15.3536
1582.97, -14.8666
1582.94, -14.4328
1582.9, -14.0483
1582.87, -13.7105
1582.84, -13.417
1582.8, -13.166
1582.77, -12.956
1582.73, -12.7852
1582.7, -12.6517
1582.66, -12.5531
1582.63, -12.4871
1582.59, -12.4511
1582.56, -12.4425
1582.52, -12.4596
1582.49, -12.501
1582.45, -12.5663
1582.42, -12.6564
1582.38, -12.7734
1582.35, -12.9205
1582.31, -13.1021
1582.28, -13.3236
1582.24, -13.5908
1582.21, -13.9098
1582.17, -14.2864
1582.14, -14.7262
1582.1, -15.2341
1582.07, -15.8147
1582.04, -16.473
1582, -17.2154
1581.97, -18.051
1581.93, -18.9936
1581.9, -20.0648
1581.86, -21.2983
1581.83, -22.7481
1581.79, -24.5044
1581.76, -26.731
1581.72, -29.7691
1581.69, -34.532
1581.65, -45.2201
1581.62, -39.8547
1581.58, -32.3225
1581.55, -28.2772
1581.51, -25.5119
1581.48, -23.4153
1581.44, -21.7324
1581.41, -20.3325
1581.37, -19.1396
1581.34, -18.1061
1581.31, -17.2003
1581.27, -16.4009
1581.24, -15.6928
1581.2, -15.0652
1581.17, -14.5103
1581.13, -14.0215
1581.1, -13.5933
1581.06, -13.2205
1581.03, -12.8977
1580.99, -12.6197
1580.96, -12.3813
1580.92, -12.1777
1580.89, -12.0047
1580.85, -11.859
1580.82, -11.7383
1580.78, -11.6418
1580.75, -11.5696
1580.72, -11.5234
1580.68, -11.5054
1580.65, -11.5188
1580.61, -11.5671
1580.58, -11.6533
1580.54, -11.7802
1580.51, -11.9496
1580.47, -12.1623
1580.44, -12.4182
1580.4, -12.7166
1580.37, -13.0567
1580.33, -13.4382
1580.3, -13.8617
1580.26, -14.3293
1580.23, -14.8452
1580.19, -15.4161
1580.16, -16.0516
1580.13, -16.7647
1580.09, -17.5727
1580.06, -18.4986
1580.02, -19.5739
1579.99, -20.8439
1579.95, -22.3779
1579.92, -24.293
1579.88, -26.811
1579.85, -30.4411
1579.81, -36.8465
1579.78, -47.4809
1579.74, -34.4528
1579.71, -29.035
1579.67, -25.6802
1579.64, -23.2497
1579.61, -21.3501
1579.57, -19.8005
1579.54, -18.5034
1579.5, -17.4006
