#,X,Y,MAG
0,10.868843000000002,-11.607440500000003,227X
1,12.583135000000002,-8.954305000000002,250X
2,12.612560000000002,-7.664365000000002,252X
3,12.833270000000004,-7.234390000000001,252X
4,12.583965000000005,-8.486030000000003,315X
5,9.464577500000003,-13.748402500000005,360X
6,8.879730000000004,-6.619265000000001,383X
8,9.869150000000001,-13.740010000000002,709X
9,12.778835000000003,-7.159435000000001,1117X
10,8.983340000000002,-6.431990000000002,1179X
11,9.774265000000003,-13.731575000000005,1703X
12,11.309930000000001,-10.611620000000002,2041X
19,12.616455000000004,-8.439150000000001,3229X
20,10.865469000000003,-11.609795500000004,4339X
21,10.878648500000002,-11.623981000000004,4776X
22,10.896573500000002,-11.604932000000003,7019X
23,12.487340000000003,-8.445705000000002,7191X
24,11.301130000000002,-10.611620000000002,8503X
45,9.924375000000001,-11.534575000000002,10204X
46,9.869375000000002,-11.534575000000002,10204X
47,9.814375000000002,-11.534775000000003,10204X
58,14.188961500000003,-8.890399500000003,13640X
59,14.158706000000004,-5.807775000000001,17007X
60,14.152406000000003,-5.807775000000001,17007X
61,5.8515000000000015,-14.047775000000003,17007X
62,5.845200000000002,-14.047775000000003,17007X
64,14.087253000000004,-9.674782500000001,19348X
65,14.211337500000003,-6.850571500000002,20059X
66,14.174593000000005,-7.911541000000002,24827X
67,11.315010000000003,-10.611620000000002,25510X
82,11.303830000000003,-10.611620000000002,51020X
